user_id,name,date,amount,recurring,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,00qbnqn Trimet,2024-05-22,2.8,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,0786 Poor Your Nw Trav,2024-02-26,9.68,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,7-Eleven,2023-07-17,2.19,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,7-Eleven,2024-02-26,5.23,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,7-Eleven,2024-02-26,9.42,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,7-Eleven,2024-02-26,30.91,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,7-Eleven,2024-03-20,3.94,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,7-Eleven,2024-03-21,7.87,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,ACE Cash Express,2024-09-12,359.15,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,ASOS,2023-08-23,25,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,ASOS,2023-08-31,200,1,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,ASOS,2023-09-05,215,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,ASOS,2024-02-16,200,1,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,ASOS,2024-03-14,200,1,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,ASOS,2024-04-15,100,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Adobe,2023-05-24,10.49,1,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Adobe,2023-06-01,19.99,?,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Adobe,2023-06-01,20.99,?,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Adobe,2023-06-01,20.99,?,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Adobe,2023-06-01,61.97,?,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Adobe,2023-06-26,10.49,1,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Adobe,2023-06-26,29.99,1,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Adobe,2023-07-24,10.49,?,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Adobe,2023-07-25,10.49,1,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Adobe,2023-07-25,29.99,?,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Adobe,2023-07-25,29.99,?,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Advanced Portfolio,2024-08-02,54.25,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Akbar,2024-02-26,7.2,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Alamy,2024-03-06,19,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Albert,2024-07-16,9.99,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Albert,2024-07-23,30,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Albert,2024-08-15,9.99,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Albert,2024-08-27,175.03,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-10,4.32,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-12,15.98,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-16,0.87,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-22,97,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-23,10.98,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-30,1.05,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-30,11.17,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-30,11.17,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-30,11.17,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-30,11.17,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-30,11.17,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-30,11.97,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-05-30,11.97,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-01,5.19,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-06,97,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-16,2.9,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-16,9.99,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-16,36.49,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-20,35,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-20,35,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-23,9.99,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-23,34.39,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-26,25.71,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-26,99,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-27,7.24,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-29,6.99,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-29,21.59,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-29,67.92,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-30,7.24,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-06-30,22.98,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-03,0.75,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-05,5.99,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-05,6.47,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-07,18.99,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-07,24.99,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-07,25,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-07,99,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-10,21.59,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-11,9.39,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-17,13.98,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-21,16.98,,
KPzHNmVrlzInPamdDWFyXndJKeBySqOL,Amazon,2023-07-25,99,,
